date,return
2024-01-03,-0.0
2024-01-04,-0.0
2024-01-05,-0.0
2024-01-08,0.0
2024-01-09,-0.0
2024-01-10,-0.0
2024-01-11,-0.0
2024-01-12,-0.0
2024-01-16,0.0
2024-01-17,-0.0
2024-01-18,-0.0
2024-01-19,-9.22980997523882e-06
2024-01-22,-0.003994061160568274
2024-01-23,0.0004070837319460341
2024-01-24,-0.0015659337793067218
2024-01-25,-0.03031323284201204
2024-01-26,0.0008487038008695991
2024-01-29,0.010477479775963527
2024-01-30,0.0008641958930336036
2024-01-31,-0.005610944117581007
2024-02-01,0.002095690347188206
2024-02-02,-0.0012575412278566511
2024-02-05,-0.009113413296283263
2024-02-06,0.005578273223513175
2024-02-07,0.00334953490783807
2024-02-08,0.0026388683604480767
2024-02-09,0.005288575935417872
2024-02-12,-0.007025884997119619
2024-02-13,-0.005461649529153678
2024-02-14,0.006371593213396254
2024-02-15,0.015552951376044177
2024-02-16,-0.0006235969164533062
2024-02-20,-0.007739438029359613
2024-02-21,0.0013031711837571125
2024-02-22,0.0033886113515140814
2024-02-23,-0.0068892183026315335
2024-02-26,0.009675981440505355
2024-02-27,0.0004137435320409333
2024-02-28,0.002891400400549915
2024-02-29,-0.00019796625499504672
2024-03-01,0.0009411463350185167
2024-03-04,-0.017888867010059706
2024-03-05,-0.009833094929960345
2024-03-06,-0.00580946674695948
2024-03-07,0.0029879923680122267
2024-03-08,-0.004631958678531584
2024-03-11,0.003464708545287576
2024-03-12,-0.0003234670934355033
2024-03-13,-0.011349552021222398
2024-03-14,-0.010296194098860345
2024-03-15,0.0029173302283653922
2024-03-18,0.03127100100711544
2024-03-19,-0.007134625097792779
2024-03-20,0.012666344128964724
2024-03-21,-0.008083787654227459
2024-03-22,-0.00575745113073256
2024-03-25,0.005268404356565948
2024-03-26,0.014597674632385482
2024-03-27,0.006078695571481441
2024-03-28,-0.011232854651020197
2024-04-01,-0.001621230124577988
2024-04-02,-0.024512031383537247
2024-04-03,0.005251155100279625
