date,return
2024-01-03,-0.009666747149510489
2024-01-04,-0.003221008459321828
2024-01-05,0.0013696013623756276
2024-01-08,0.0142760527784358
2024-01-09,-0.0015169954362290738
2024-01-10,0.005655198795068372
2024-01-11,-0.0004406070997181599
2024-01-12,0.0006927820714308641
2024-01-16,-0.003671240950010146
2024-01-17,-0.005558695057710117
2024-01-18,0.008892744359593419
2024-01-19,0.01246634838094507
2024-01-22,0.002114191219384498
2024-01-23,0.0029164787062068154
2024-01-24,0.0010931980516954987
2024-01-25,0.005438841931409755
2024-01-26,-0.0012702054495150605
2024-01-29,0.007919307290395139
2024-01-30,-0.0007734920616433438
2024-01-31,-0.01631726054723548
2024-02-01,0.013088048421898923
2024-02-02,0.010527296668721098
2024-02-05,-0.0036410056102254007
2024-02-06,0.0029031899601519306
2024-02-07,0.008340496313372414
2024-02-08,0.0004416242430944628
2024-02-09,0.005779462124994028
2024-02-12,-0.00043895545913064105
2024-02-13,-0.013772988606368997
2024-02-14,0.009087539027314628
2024-02-15,0.006899793709901791
2024-02-16,-0.004979973581171526
2024-02-20,-0.00550550720653431
2024-02-21,0.0009058828019030685
2024-02-22,0.020695616160753882
2024-02-23,0.0006895959594583889
2024-02-26,-0.0036625170438527865
2024-02-27,0.0018577481830415188
2024-02-28,-0.0013217027788626767
2024-02-29,0.0035949680507312287
2024-03-01,0.009388206951783884
2024-03-04,-0.001072337708464599
2024-03-05,-0.009994191635525618
2024-03-06,0.005067377525204364
2024-03-07,0.009926265953841495
2024-03-08,-0.006002087411756563
2024-03-11,-0.0008599241494925414
2024-03-12,0.010757288621670469
2024-03-13,-0.0015674688705402673
2024-03-14,-0.0019767611898465764
2024-03-15,-0.0068664632814759985
2024-03-18,0.005942970450018459
2024-03-19,0.005557150523815668
2024-03-20,0.009249342703349317
2024-03-21,0.003304611474516772
2024-03-22,-0.0018955134733119605
2024-03-25,-0.0027630134777932858
2024-03-26,-0.0018469718880519403
2024-03-27,0.008403864922472248
2024-03-28,-0.00019115879491005128
2024-04-01,-0.0017398117178240025
2024-04-02,-0.006358016169788816
2024-04-03,0.0010984144691581488
2024-04-04,-0.012206091188928014
2024-04-05,0.01044698003697353
2024-04-08,0.0005594955000964852
2024-04-09,0.001156489995766341
2024-04-10,-0.010013045196391235
2024-04-11,0.007547045820735621
2024-04-12,-0.013803268035941452
2024-04-15,-0.012528106121352134
2024-04-16,-0.0018238497618979777
2024-04-17,-0.005918238137195275
2024-04-18,-0.0020576433156114238
2024-04-19,-0.008728460168420549
2024-04-22,0.009209198134285668
2024-04-23,0.01186670029957293
2024-04-24,-0.00047465236734567373
2024-04-25,-0.0037988981322694126
2024-04-26,0.009473891460768158
2024-04-29,0.003541427118913587
2024-04-30,-0.015841227166982663
2024-05-01,-0.0032471503538188395
2024-05-02,0.009353450252192363
2024-05-03,0.012395332543550186
2024-05-06,0.010326734245154512
2024-05-07,0.0011034841596206935
2024-05-08,9.660297516567162e-05
2024-05-09,0.005761986595541169
2024-05-10,0.0012879878697655833
2024-05-13,0.00013418713256108106
2024-05-14,0.004588524039106812
2024-05-15,0.012383004978475887
2024-05-16,-0.00205752090146627
2024-05-17,0.0014373061020953593
2024-05-20,0.001152054091964505
2024-05-21,0.0024527034785439827
2024-05-22,-0.0028795143258492084
2024-05-23,-0.007303926289236817
2024-05-24,0.006616274435774727
2024-05-28,0.0006988699333558834
2024-05-29,-0.007002511477218976
2024-05-30,-0.006633697151315676
2024-05-31,0.00910821310388088
2024-06-03,0.0008153591799815452
2024-06-04,0.001117889678908135
2024-06-05,0.011885059841088896
2024-06-06,-1.8874713054506387e-05
2024-06-07,-0.001215507569371721
2024-06-10,0.003089770854808771
2024-06-11,0.002408104637113828
2024-06-12,0.008213110344904795
2024-06-13,0.0020136256376885875
2024-06-14,0.0006082700460166013
2024-06-17,0.007958828152111241
2024-06-18,0.002540720441353894
2024-06-20,-0.0027164444541963872
2024-06-21,-0.001340607764340862
2024-06-24,-0.0032507395346381696
2024-06-25,0.0038507542067618417
2024-06-26,0.001248271227491493
2024-06-27,0.001576461654494432
2024-06-28,-0.003935065191992049
2024-07-01,0.002058023732368186
2024-07-02,0.006729776870987747
2024-07-03,0.004462520213184051
2024-07-05,0.005766597648471761
2024-07-08,0.0011537588069578941
2024-07-09,0.0009726223243602394
2024-07-10,0.00989528053077593
2024-07-11,-0.008622675948070313
2024-07-12,0.006307401768592014
2024-07-15,0.0027500650752780853
2024-07-16,0.005930338715160133
2024-07-17,-0.014021237206247372
2024-07-18,-0.007684755082017047
2024-07-19,-0.006640527977257338
2024-07-22,0.010309625644287612
2024-07-23,-0.0015683946456270803
2024-07-24,-0.022662421599522586
2024-07-25,-0.0052104238954299165
2024-07-26,0.011199553271160845
2024-07-29,0.0005880315609070319
2024-07-30,-0.0050666697863112065
2024-07-31,0.01625473240430919
2024-08-01,-0.0141609832922176
2024-08-02,-0.018618601549292957
2024-08-05,-0.029123582400480075
2024-08-06,0.009219668747423526
2024-08-07,-0.006684104205949781
2024-08-08,0.023117302286119523
2024-08-09,0.004409575387478881
2024-08-12,0.0005256396444828226
2024-08-13,0.016445611346070477
2024-08-14,0.003154779942889041
2024-08-15,0.017140277998652476
2024-08-16,0.002242106366691976
2024-08-19,0.009561203594629308
2024-08-20,-0.0016261722061099437
2024-08-21,0.0034367954286997904
2024-08-22,-0.007848512551791309
2024-08-23,0.010625384729442633
2024-08-26,-0.0023842521760982782
2024-08-27,0.0013735167957216188
2024-08-28,-0.005805407046062694
2024-08-29,8.930519883842969e-05
2024-08-30,0.00954629848458799
2024-09-03,-0.020579026837119763
2024-09-04,-0.00204683084696089
2024-09-05,-0.00243218058308603
2024-09-06,-0.016830203968230317
2024-09-09,0.011196137881657853
2024-09-10,0.00435591585377737
2024-09-11,0.010258962261036064
2024-09-12,0.008423121701785385
2024-09-13,0.005222895000991157
2024-09-16,0.0014767043578509664
2024-09-17,0.00040873357753001827
2024-09-18,-0.002965935955357324
2024-09-19,0.017064380731744544
2024-09-20,-0.0017287123161396911
2024-09-23,0.0024991241720191404
2024-09-24,0.0028610494997864944
2024-09-25,-0.0022054652318131973
2024-09-26,0.003964800214346642
